alpha,level,metric,mean,std
0.1,family,hir,0.0,0.0
0.1,major,coverage,0.9144518167456552,0.0042985580028506
0.1,major,set_size_mean,1.298325434439178,0.0080325919481569
0.1,major,set_size_median,1.0,0.0
0.1,major,empty_rate,0.0009952606635065,0.0003411468394905
0.1,major,singleton_rate,0.7622780410742491,0.0036406038677125
0.1,major,top1_acc_non_empty,0.8216294486831821,0.0028922961965582
0.1,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.1,major,hir,,
0.1,leaf,coverage,0.8989162717219585,0.0048546450246891
0.1,leaf,set_size_mean,1.5586919431279618,0.0116197107085079
0.1,leaf,set_size_median,1.0,0.0
0.1,leaf,empty_rate,0.0009952606635065,0.0003411468394905
0.1,leaf,singleton_rate,0.630018957345971,0.0035391895931885
0.1,leaf,top1_acc_non_empty,0.7238101932446809,0.0029967514149523
0.1,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.1,leaf,hir,,
0.15,family,coverage,0.951453396524486,0.0031715043187477
0.15,family,set_size_mean,1.0331943127962082,0.0027637865556807
0.15,family,set_size_median,1.0,0.0
0.15,family,empty_rate,0.0107551342812,0.0019559907166735
0.15,family,singleton_rate,0.94529541864139,0.0019343099987378
0.15,family,top1_acc_non_empty,0.9465993336439436,0.0023198820781942
0.15,family,base_top1_acc,0.9429921011058447,0.00240603786588
0.15,family,hir,0.0,0.0
0.15,major,coverage,0.873769352290679,0.0046768031714932
0.15,major,set_size_mean,1.14554186413902,0.0070193513562378
0.15,major,set_size_median,1.0,0.0
0.15,major,empty_rate,0.0107551342812,0.0019559907166735
0.15,major,singleton_rate,0.8385750394944705,0.0035039285445477
0.15,major,top1_acc_non_empty,0.8280829635128478,0.0023509088704695
0.15,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.15,major,hir,,
0.15,leaf,coverage,0.8494913112164294,0.0061383235709627
0.15,leaf,set_size_mean,1.3255639810426536,0.0102812121845442
0.15,leaf,set_size_median,1.0,0.0
0.15,leaf,empty_rate,0.0107551342812,0.0019559907166735
0.15,leaf,singleton_rate,0.7099399684044231,0.0044416325805313
0.15,leaf,top1_acc_non_empty,0.7296241444877842,0.0024829338096181
0.15,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.15,leaf,hir,,
0.2,family,coverage,0.9370774091627168,0.0050513866413456
0.2,family,set_size_mean,1.0163033175355447,0.0046453370635138
0.2,family,set_size_median,1.0,0.0
0.2,family,empty_rate,0.0246508688783566,0.0039312810443659
0.2,family,singleton_rate,0.9343949447077406,0.003599485383595
0.2,family,top1_acc_non_empty,0.9463289726911024,0.002366474617611
0.2,family,base_top1_acc,0.9429921011058447,0.00240603786588
0.2,family,hir,0.0,0.0
0.2,major,coverage,0.858679304897314,0.0049571304350804
0.2,major,set_size_mean,1.0994375987361764,0.0091606135709615
0.2,major,set_size_median,1.0,0.0
0.2,major,empty_rate,0.0246508688783566,0.0039312810443659
0.2,major,singleton_rate,0.8529067930489728,0.0029954223371891
0.2,major,top1_acc_non_empty,0.8356368031270136,0.002343724608711
0.2,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.2,major,hir,,
0.2,leaf,coverage,0.7986161137440755,0.0074048385629156
0.2,leaf,set_size_mean,1.1860505529225904,0.0166543198324734
0.2,leaf,set_size_median,1.0,0.0
0.2,leaf,empty_rate,0.0246508688783566,0.0039312810443659
0.2,leaf,singleton_rate,0.76972195892575,0.0089185853034389
0.2,leaf,top1_acc_non_empty,0.7364129395580455,0.0024054130695755
0.2,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.2,leaf,hir,,
0.25,family,coverage,0.8751785150078986,0.0076311217022047
0.25,family,set_size_mean,0.9429952606635068,0.0083151353108337
0.25,family,set_size_median,1.0,0.0
0.25,family,empty_rate,0.0869984202211685,0.0068241497314822
0.25,family,singleton_rate,0.8830078988941544,0.0055517171144697
0.25,family,top1_acc_non_empty,0.9481281053338594,0.002199822744524
0.25,family,base_top1_acc,0.9429921011058447,0.00240603786588
0.25,family,hir,0.0,0.0
0.25,major,coverage,0.8053838862559239,0.0077001028909592
0.25,major,set_size_mean,0.9793396524486568,0.0104386619730205
0.25,major,set_size_median,1.0,0.0
0.25,major,empty_rate,0.0869984202211685,0.0068241497314822
0.25,major,singleton_rate,0.8466635071090045,0.0045177018633806
0.25,major,top1_acc_non_empty,0.857184244872069,0.0023692525877816
0.25,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.25,major,hir,,
0.25,leaf,coverage,0.7479431279620848,0.0051238659205135
0.25,leaf,set_size_mean,1.0112701421800945,0.0121012485269812
0.25,leaf,set_size_median,1.0,0.0
0.25,leaf,empty_rate,0.0869984202211685,0.0068241497314822
0.25,leaf,singleton_rate,0.8148625592417059,0.0042088266710063
0.25,leaf,top1_acc_non_empty,0.7754635534414391,0.0031319702834554
0.25,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.25,leaf,hir,,
0.3,family,coverage,0.788341232227488,0.0060027353270892
0.3,family,set_size_mean,0.8325908372827802,0.0066073208721926
0.3,family,set_size_median,1.0,0.0
0.3,family,empty_rate,0.1790932069510264,0.0050749619350547
0.3,family,singleton_rate,0.8092227488151654,0.0038677944267012
0.3,family,top1_acc_non_empty,0.9554745773998512,0.0019928148841512
0.3,family,base_top1_acc,0.9429921011058447,0.00240603786588
0.3,family,hir,0.0,0.0
0.3,major,coverage,0.724587677725118,0.0059760128615167
0.3,major,set_size_mean,0.8394502369668243,0.0076037344737256
0.3,major,set_size_median,1.0,0.0
0.3,major,empty_rate,0.1790932069510264,0.0050749619350547
0.3,major,singleton_rate,0.8023633491311212,0.0032156354368661
0.3,major,top1_acc_non_empty,0.8742349911429489,0.0024809921750806
0.3,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.3,major,hir,,
0.3,leaf,coverage,0.6973175355450233,0.0059466844983481
0.3,leaf,set_size_mean,0.8453428120063187,0.0079998379560481
0.3,leaf,set_size_median,1.0,0.0
0.3,leaf,empty_rate,0.1790932069510264,0.0050749619350547
0.3,leaf,singleton_rate,0.7964707740916269,0.0030590803730385
0.3,leaf,top1_acc_non_empty,0.836517080775281,0.0026730240189115
0.3,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.3,leaf,hir,,
0.35,family,coverage,0.7116240126382302,0.0057965833428115
0.35,family,set_size_mean,0.7335197472353867,0.0060011815387392
0.35,family,set_size_median,1.0,0.0
0.35,family,empty_rate,0.2664802527646124,0.0060011815387391
0.35,family,singleton_rate,0.7335197472353867,0.0060011815387392
0.35,family,top1_acc_non_empty,0.9701515439530952,0.0017200224607121
0.35,family,base_top1_acc,0.9429921011058447,0.00240603786588
0.35,family,hir,0.0,0.0
0.35,major,coverage,0.6636145339652445,0.0050137572169407
0.35,major,set_size_mean,0.7335197472353867,0.0060011815387392
0.35,major,set_size_median,1.0,0.0
