method,alpha,level,metric,mean,std
LwCP,0.4,leaf,top1_acc_non_empty,0.94120776226878,0.0033890563642003
LwCP,0.4,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
LwCP,0.4,leaf,hir,,
LwCP,0.45,family,coverage,0.5507867298578195,0.0067663599887645
LwCP,0.45,family,set_size_mean,0.5511279620853078,0.0067715157562841
LwCP,0.45,family,set_size_median,1.0,0.0
LwCP,0.45,family,empty_rate,0.4488720379146915,0.0067715157562841
LwCP,0.45,family,singleton_rate,0.5511279620853078,0.0067715157562841
LwCP,0.45,family,top1_acc_non_empty,0.9993808975553674,0.0003439828410678
LwCP,0.45,family,base_top1_acc,0.9554091627172192,0.0015158788953192
LwCP,0.45,family,hir,0.2335071090047388,0.0040687090361615
LwCP,0.45,major,coverage,0.5486666666666663,0.0081536385618108
LwCP,0.45,major,set_size_mean,0.5531153238546599,0.0084577303353895
LwCP,0.45,major,set_size_median,1.0,0.0
LwCP,0.45,major,empty_rate,0.4468846761453392,0.0084577303353895
LwCP,0.45,major,singleton_rate,0.5531153238546599,0.0084577303353895
LwCP,0.45,major,top1_acc_non_empty,0.991964294105048,0.0013151354726273
LwCP,0.45,major,base_top1_acc,0.8430774091627168,0.0027613529109355
LwCP,0.45,major,hir,,
LwCP,0.45,leaf,coverage,0.5479020537124799,0.0067359602920898
LwCP,0.45,leaf,set_size_mean,0.559630331753554,0.0073382773361501
LwCP,0.45,leaf,set_size_median,1.0,0.0
LwCP,0.45,leaf,empty_rate,0.4403696682464451,0.0073382773361501
LwCP,0.45,leaf,singleton_rate,0.559630331753554,0.0073382773361501
LwCP,0.45,leaf,top1_acc_non_empty,0.979054105720398,0.00158248715257
LwCP,0.45,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
LwCP,0.45,leaf,hir,,
LwCP,0.5,family,coverage,0.5006887835702999,0.0068885189286366
LwCP,0.5,family,set_size_mean,0.5009794628751971,0.0068576350868179
LwCP,0.5,family,set_size_median,0.56,0.501426536422407
LwCP,0.5,family,empty_rate,0.4990205371248021,0.0068576350868179
LwCP,0.5,family,singleton_rate,0.5009794628751971,0.0068576350868179
LwCP,0.5,family,top1_acc_non_empty,0.9994188517142694,0.0003421369361544
LwCP,0.5,family,base_top1_acc,0.9554091627172192,0.0015158788953192
LwCP,0.5,family,hir,0.2723064770932065,0.0036250358940771
LwCP,0.5,major,coverage,0.498284360189573,0.0071723798166382
LwCP,0.5,major,set_size_mean,0.5010363349131116,0.0073231970827646
LwCP,0.5,major,set_size_median,0.61,0.4874967294500444
LwCP,0.5,major,empty_rate,0.4989636650868874,0.0073231970827646
LwCP,0.5,major,singleton_rate,0.5010363349131116,0.0073231970827646
LwCP,0.5,major,top1_acc_non_empty,0.9945110923994354,0.0009484261401686
LwCP,0.5,major,base_top1_acc,0.8430774091627168,0.0027613529109355
LwCP,0.5,major,hir,,
LwCP,0.5,leaf,coverage,0.4984676145339649,0.0067408703288288
LwCP,0.5,leaf,set_size_mean,0.5041611374407577,0.0069035010610025
LwCP,0.5,leaf,set_size_median,0.76,0.4194262358829486
LwCP,0.5,leaf,empty_rate,0.4958388625592412,0.0069035010610025
LwCP,0.5,leaf,singleton_rate,0.5041611374407577,0.0069035010610025
LwCP,0.5,leaf,top1_acc_non_empty,0.9887097559775552,0.0010867793303859
LwCP,0.5,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
LwCP,0.5,leaf,hir,,
LoUPCP,0.0,family,coverage,0.999990521327014,3.7898568322735005e-05
LoUPCP,0.0,family,set_size_mean,4.75070458135861,0.1785031069771946
LoUPCP,0.0,family,set_size_median,5.0,0.0
LoUPCP,0.0,family,empty_rate,0.0,0.0
LoUPCP,0.0,family,singleton_rate,0.0031690363349127,0.0025571770907429
LoUPCP,0.0,family,top1_acc_non_empty,0.9429921011058447,0.00240603786588
LoUPCP,0.0,family,base_top1_acc,0.9429921011058447,0.00240603786588
LoUPCP,0.0,family,hir,0.0,0.0
